,Longitude,Latitude,case
0,-94.6178329666013,36.4994141203285,yes
1,-94.6176489333943,36.499414377722005,no
2,-94.55928999999999,36.499496,no
3,-94.55464149233418,36.4994630732653,no
4,-94.51947799999999,36.499213999999995,no
5,-94.4802836111299,36.49930958701059,no
6,-94.4764289066681,36.499318987837796,no
7,-94.4570894247227,36.49936615283559,no
8,-94.4525503858722,36.49937722261289,no
9,-94.44737001127689,36.4993898564754,no
10,-94.38381323377858,36.4995448583147,no
11,-94.37189672149549,36.4995739202243,no
12,-94.36120299999999,36.4996,no
13,-94.33932847106749,36.49951214450589,no
14,-94.3294423318218,36.4994724384327,no
15,-94.3274289142437,36.49946435186789,no
16,-94.3159718861908,36.4994183365748,no
17,-94.3132388901132,36.499407359939795,no
18,-94.3070578934266,36.499382534970096,no
19,-94.2891369254635,36.499310558311905,no
20,-94.28008704487239,36.4992742109358,no
21,-94.2761144288218,36.4992582555684,no
22,-94.2694298015614,36.4992314078483,no
23,-94.269279803981,36.4992308054074,no
24,-94.25365694353539,36.4991680587249,no
25,-94.2491983095963,36.4991501513456,no
26,-94.2418340213061,36.4991205738773,no
27,-94.2153956952174,36.499014388632894,no
28,-94.1964230324752,36.4989381880133,no
29,-94.1869140241116,36.498899996625006,no
30,-94.1841178844645,36.4988887663841,no
31,-94.1829878303993,36.498884227705396,no
32,-94.1814127473658,36.4988779016401,no
33,-94.11602910724079,36.498615298865005,no
34,-94.1144804745692,36.4986090790333,no
35,-94.11228175223249,36.498600248222004,no
36,-94.11147299999999,36.498597,no
37,-94.11067299999999,36.498587,yes
38,-94.100252,36.49867,no
39,-94.09858799999999,36.498675999999996,no
40,-94.09447400837239,36.4986863332968,no
41,-94.077089,36.49873,no
42,-94.07342263223619,36.498729578835395,no
43,-94.0317809330182,36.49872479535149,no
44,-93.9960603243849,36.4987206920377,no
45,-93.9894519996631,36.4987199329233,no
46,-93.97601899984029,36.4987183898417,no
47,-93.97152899989959,36.4987178740644,no
48,-93.96714899995739,36.498717370923096,no
49,-93.96392,36.498717,no
50,-93.962612,36.498717,no
51,-93.95918999999999,36.498717,no
52,-93.92663400101979,36.4987178716465,no
53,-93.92183999999999,36.498718,no
54,-93.906128,36.498718,no
55,-93.9019050153381,36.4987255636537,no
56,-93.86675809584749,36.498788514185,no
57,-93.8343489884675,36.498846561107904,no
58,-93.8340419876613,36.4988471109673,no
59,-93.7537316954327,36.498990952181096,no
60,-93.752237622874,36.498993628167,no
61,-93.7342830354382,36.4990257860583,no
62,-93.728022,36.499037,yes
63,-93.727552,36.499055,no
64,-93.718893,36.499178,no
65,-93.70995599999999,36.499179,no
66,-93.7097668292207,36.4991781493598,no
67,-93.700171,36.499134999999995,no
68,-93.6914245287861,36.4991169621484,no
69,-93.689392,36.4991127704634,no
70,-93.67990691295161,36.499093209364005,no
71,-93.67922490554069,36.4990918028598,no
72,-93.6588332119542,36.4990497490608,no
73,-93.6482821775674,36.4990279896578,no
74,-93.58428099999999,36.498895999999995,no
75,-93.5833989998258,36.4988958103742,no
76,-93.514512,36.498881,no
77,-93.507408,36.498911,no
78,-93.49228711056548,36.4988497034164,no
79,-93.4892353189012,36.4988373321598,no
80,-93.4777121880135,36.4987906200561,no
