,Longitude,Latitude,case
0,-116.04908600018396,49.000846000651116,yes
1,-116.04908699951282,49.000670999590845,no
2,-116.04908700018726,49.00014699998348,no
3,-116.04908700013252,48.999972999477286,no
4,-116.04908600058174,48.999934999857885,no
5,-116.04908700046275,48.99982099978132,no
6,-116.04908700028601,48.99978300014288,no
7,-116.04909200077287,48.99749900010223,no
8,-116.04910800011825,48.99065000027572,no
9,-116.04911400052761,48.9883669998557,no
10,-116.04911599983171,48.98771399977367,no
11,-116.04912100051115,48.985753999929514,no
12,-116.0491230003286,48.98510200039444,no
13,-116.04912399976418,48.98420000006438,no
14,-116.0491270001939,48.98149900037198,no
15,-116.04912899991685,48.98059800044895,no
16,-116.04912900004038,48.97903500037131,no
17,-116.04913100054031,48.974345999413835,no
18,-116.04913200033269,48.97278399945778,no
19,-116.04912999967627,48.971658999757196,no
20,-116.04912799988682,48.96828599976154,no
21,-116.04912700000932,48.96716200054376,no
22,-116.04912699953077,48.966945000032474,no
23,-116.04912700060895,48.966916999365836,no
24,-116.04912699962432,48.966891000566186,no
25,-116.04912900056202,48.966769000432315,no
26,-116.0491289996968,48.96672999984231,no
27,-116.0491209999244,48.958555000442914,no
28,-116.04912099970717,48.95829300026148,no
29,-116.04911999935356,48.9577549998766,no
30,-116.04910700087382,48.949756000057505,no
31,-116.04910799971998,48.94950200028202,no
32,-116.04911500108224,48.94874300021185,no
33,-116.04911699966311,48.948616000576514,no
34,-116.04911699949493,48.94849000017062,no
35,-116.04911300031738,48.94822900057575,no
36,-116.04910200040176,48.947445000141464,no
37,-116.04909799947163,48.94718499987485,no
38,-116.0490980000497,48.946024000430924,no
39,-116.0490969991948,48.94254699995635,no
40,-116.04909799939692,48.94138800015124,no
41,-116.04909799948379,48.94073500055732,no
42,-116.04909900007563,48.9387809997316,no
43,-116.04909999922891,48.93812900038487,no
44,-116.04909800001053,48.93766599949265,no
45,-116.04909400034387,48.93628000023139,no
46,-116.04909300007785,48.935817999760545,no
47,-116.04909300073619,48.93539600063083,no
48,-116.04909200049299,48.93412800053935,no
49,-116.04909300101257,48.93370700013888,no
50,-116.04908899971751,48.931014999540146,no
51,-116.04908099992386,48.92294399971817,no
52,-116.04907899920796,48.92025399969568,no
53,-116.04908099975069,48.920073999693564,no
54,-116.04908400008168,48.9195360000007,no
55,-116.04908700031687,48.919358000499045,no
56,-116.04908400010454,48.919105000444816,no
57,-116.04907999994113,48.91835100035673,no
58,-116.04907999938847,48.91810099941657,no
59,-116.0490769993379,48.91801400046561,no
60,-116.0490780000447,48.91762600004884,no
61,-116.04907899914667,48.916204000076355,no
62,-116.0490810005048,48.91572999995182,no
63,-116.04907999949857,48.914396999542326,no
64,-116.04907899976202,48.91039899970546,no
65,-116.04907999951541,48.90906700005056,no
