,Longitude,Latitude,case
0,-84.3174907933753,35.0218441647982,yes
1,-84.31747516042711,35.0219635529126,no
2,-84.3108509784478,35.072552129310004,no
3,-84.31002199999999,35.078883,no
4,-84.30858121336479,35.0927109646769,no
5,-84.308576,35.092760999999996,no
6,-84.308437,35.093173,no
7,-84.3048456370629,35.121413902214,no
8,-84.30480899999999,35.121702,no
9,-84.298006,35.167468,no
10,-84.2978436668293,35.1683461708446,no
11,-84.295238,35.182442,no
12,-84.292321,35.206677,no
13,-84.292319677455,35.206689008403494,no
14,-84.29024,35.225572,yes
15,-84.289621,35.224677,no
16,-84.287982,35.224468,no
17,-84.28322,35.226577,no
18,-84.28251999999999,35.227877,no
19,-84.27542,35.234777,no
20,-84.260319,35.241876999999995,no
21,-84.257719,35.246176999999996,no
22,-84.252819,35.249477,no
23,-84.24301899999999,35.253178,no
24,-84.240219,35.255178,no
25,-84.23181799999999,35.264778,no
26,-84.227818,35.267877999999996,no
27,-84.22371799999999,35.269078,yes
28,-84.216318,35.267978,no
29,-84.211818,35.266078,no
30,-84.205517,35.259679,no
31,-84.205317,35.258279,no
32,-84.202879,35.255772,no
33,-84.201717,35.247779,no
34,-84.20011699999999,35.244679,no
35,-84.199117,35.243679,yes
36,-84.192217,35.243079,no
37,-84.188417,35.239979,no
38,-84.178516,35.240679,no
39,-84.177016,35.242379,no
40,-84.170416,35.245779,no
41,-84.168616,35.245779999999996,no
42,-84.161316,35.24348,no
43,-84.160416,35.24388,no
44,-84.15891599999999,35.24588,no
45,-84.155316,35.24648,no
46,-84.143124,35.246879,no
47,-84.139715,35.246179999999995,no
48,-84.136415,35.24478,no
49,-84.132504,35.242078,no
50,-84.129815,35.241780999999996,no
51,-84.127915,35.241081,no
52,-84.126415,35.241381,no
53,-84.125715,35.242781,no
54,-84.126815,35.246480999999996,no
55,-84.125615,35.249381,no
56,-84.124915,35.249829999999996,no
57,-84.12361299999999,35.249739999999996,no
58,-84.12115,35.250644,no
59,-84.120114,35.251981,no
60,-84.11891399999999,35.252280999999996,no
61,-84.11661,35.251429,no
62,-84.115279,35.250437999999995,no
63,-84.115048,35.249765,no
64,-84.114414,35.249081,no
65,-84.113314,35.248981,no
66,-84.11117999999999,35.249573,no
67,-84.11018299999999,35.250462999999996,no
68,-84.109032,35.249625,no
69,-84.108449,35.25033,no
70,-84.1067,35.251509999999996,yes
71,-84.105232,35.250219,no
72,-84.104193,35.250183,no
73,-84.103135,35.248781,no
74,-84.10226999999999,35.248115,no
75,-84.100729,35.248362,no
76,-84.098068,35.247209,no
77,-84.092213,35.249981,no
78,-84.08291299999999,35.257082,no
79,-84.082813,35.258882,no
80,-84.08111699999999,35.261146,no
81,-84.074713,35.263182,no
82,-84.070612,35.263782,no
83,-84.063712,35.266681999999996,no
84,-84.055712,35.268181999999996,yes
85,-84.052612,35.269982,no
86,-84.042711,35.278383,no
87,-84.036011,35.288683,no
88,-84.0290849697824,35.292188335624196,no
89,-84.02790999999999,35.292783,no
90,-84.02351,35.295783,no
91,-84.02141,35.301383,yes
92,-84.02651,35.309283,no
93,-84.02870999999999,35.310383,no
94,-84.03501,35.311983,no
95,-84.03571,35.312883,no
96,-84.03551,35.317783,no
97,-84.032479,35.325317999999996,no
98,-84.03245,35.32653,no
99,-84.032209,35.328583,no
100,-84.03040899999999,35.330483,no
101,-84.029377,35.333197,no
102,-84.031272,35.336438,no
103,-84.03242999999999,35.336845,no
104,-84.036194,35.337674,no
105,-84.03630299999999,35.339158,no
106,-84.035572,35.341485999999996,no
107,-84.033975,35.342771,no
108,-84.038327,35.347812999999995,yes
109,-84.03815435951869,35.348158160235,no
110,-84.036897,35.350671999999996,no
111,-84.035343,35.350833,no
112,-84.03433799999999,35.350947,no
113,-84.03280099999999,35.351908,no
114,-84.032466,35.352593999999996,no
115,-84.029113,35.353553999999995,no
116,-84.024756,35.353896,no
117,-84.023456,35.354217,no
118,-84.02018799999999,35.357503,no
119,-84.019193,35.359569,no
120,-84.015121,35.364868,no
121,-84.00765802878209,35.371596064165004,no
122,-84.00758599999999,35.371660999999996,yes
123,-84.0076786785702,35.3725893282026,no
124,-84.008307,35.378883,no
125,-84.0095061641702,35.3819208825644,no
126,-84.009807,35.382683,no
127,-84.011207,35.384383,no
128,-84.010607,35.386182999999996,no
129,-84.008207,35.389683,no
130,-84.008207,35.390383,no
131,-84.014107,35.397783,no
132,-84.01520699999999,35.398483,no
133,-84.018107,35.399083,no
134,-84.018807,35.399783,no
135,-84.021507,35.404182999999996,no
136,-84.021782,35.407418,no
137,-84.023107,35.409684,no
138,-84.02300699999999,35.411684,no
139,-84.02120699999999,35.412084,no
140,-84.017607,35.411183,no
141,-84.014707,35.411983,yes
142,-84.01170599999999,35.415383,no
143,-84.00530599999999,35.420882999999996,no
144,-84.00224999999999,35.422548,no
145,-83.999906,35.425201,no
146,-83.999242,35.42614,no
147,-83.998154,35.430786,no
148,-83.996619,35.433761,no
149,-83.99256799999999,35.438065,no
150,-83.983233,35.44235,no
151,-83.978286,35.44782,no
152,-83.973057,35.448921,no
153,-83.973171,35.452582,no
154,-83.97143899999999,35.455145,no
155,-83.96984499999999,35.455442999999995,no
156,-83.966656,35.454941,no
157,-83.965229,35.455399,no
158,-83.9614,35.459496,no
159,-83.96105399999999,35.462838,no
160,-83.961056,35.463738,no
161,-83.9610558840119,35.463753658400094,no
162,-83.96105299999999,35.464143,yes
163,-83.957821,35.464211,no
164,-83.955416,35.463456,no
165,-83.952882,35.460634999999996,no
166,-83.949389,35.461164,no
167,-83.942987,35.465084,no
168,-83.942172,35.467254,no
169,-83.937015,35.471511,no
170,-83.929743,35.47333,no
171,-83.92489499999999,35.473884,no
172,-83.9208783824189,35.4734944687133,no
173,-83.9208139241491,35.473488217554895,no
174,-83.919564,35.473366999999996,no
175,-83.91680099999999,35.473611999999996,no
176,-83.911773,35.476028,yes
177,-83.90926499999999,35.479714,no
178,-83.90804,35.484397,no
179,-83.90561199999999,35.489059999999995,no
180,-83.901527,35.491026,no
181,-83.90033799999999,35.493095,no
182,-83.9002,35.494191,no
183,-83.901403,35.495278,no
184,-83.901381,35.496553,no
185,-83.895669,35.501868,no
186,-83.893031,35.502252999999996,no
187,-83.892074,35.503088999999996,no
188,-83.88426199999999,35.512754,no
189,-83.88256299999999,35.517182,yes
190,-83.880074,35.518744999999996,no
191,-83.87263,35.521145,no
192,-83.866413,35.52091,no
193,-83.85926099999999,35.521851,no
194,-83.853898,35.521059,no
195,-83.848502,35.519259,no
196,-83.840203,35.52156,no
197,-83.831895,35.524766,no
198,-83.827428,35.524653,no
199,-83.82558999999999,35.523829,yes
200,-83.809798,35.53431,no
201,-83.808713,35.536415,no
202,-83.80243399999999,35.541588,no
203,-83.786802,35.547200000000004,no
204,-83.780129,35.550387,no
205,-83.77309199999999,35.557465,no
206,-83.77173599999999,35.562118,yes
207,-83.764606,35.561538,no
208,-83.759675,35.562492,no
209,-83.756917,35.563604,no
210,-83.749894,35.561146,no
211,-83.735669,35.565455,no
212,-83.732947,35.563148999999996,no
213,-83.72345899999999,35.561873999999996,no
214,-83.720787,35.563347,no
215,-83.707199,35.568532999999995,no
216,-83.703846,35.568476,no
217,-83.70209899999999,35.567634,no
218,-83.70066299999999,35.567620999999995,no
219,-83.69782699999999,35.568352,no
220,-83.68415399999999,35.568847999999996,no
221,-83.676268,35.570288999999995,no
222,-83.673093,35.568974,no
223,-83.66627199999999,35.569389,no
224,-83.66302360458259,35.5691430430619,no
225,-83.66295699999999,35.569137999999995,no
226,-83.66092499999999,35.568207,no
227,-83.657933,35.569210999999996,no
228,-83.653159,35.568309,no
229,-83.64548099999999,35.565825,no
230,-83.640498,35.566075,no
231,-83.637182,35.567096,no
232,-83.635832,35.568169,no
233,-83.632358,35.569092999999995,no
234,-83.629734,35.567889,yes
235,-83.615312,35.574025999999996,no
236,-83.60888899999999,35.579451,no
237,-83.604806,35.579339999999995,no
238,-83.601854,35.578227999999996,no
239,-83.59427,35.572911999999995,no
240,-83.58782699999999,35.566963,no
241,-83.58713999999999,35.564017,no
242,-83.58559,35.562940999999995,no
243,-83.58200000000001,35.562684,no
244,-83.57634499999999,35.564019,no
245,-83.572424,35.565518,no
246,-83.56609,35.565993,no
247,-83.559264,35.564796,no
248,-83.552167,35.564346,no
249,-83.540826,35.565702,no
250,-83.53416899999999,35.564668,no
251,-83.52046899999999,35.565602,no
252,-83.517564,35.562871,no
253,-83.498335,35.562981,yes
254,-83.491647,35.566866999999995,no
255,-83.48552699999999,35.568204,no
256,-83.480617,35.576633,no
257,-83.478523,35.579201999999995,no
258,-83.479317,35.582764,no
259,-83.47908199999999,35.583315999999996,no
260,-83.47536699999999,35.584775,no
261,-83.4728691161081,35.586429394213894,no
262,-83.472684,35.586552,no
263,-83.472668,35.589124999999996,no
264,-83.471362,35.590303999999996,no
265,-83.462678,35.592600000000004,no
266,-83.455722,35.598045,no
267,-83.45243099999999,35.602917999999995,no
268,-83.447137,35.608664,no
269,-83.445802,35.611803,yes
270,-83.441197,35.611739,no
271,-83.432298,35.609941,no
272,-83.421576,35.611186,no
273,-83.420964,35.611596,no
274,-83.42036999999999,35.613467,no
275,-83.411852,35.61692,no
276,-83.406061,35.620185,no
277,-83.40356899999999,35.621313,no
278,-83.396626,35.62272,no
279,-83.392652,35.625095,no
280,-83.38860199999999,35.632352,no
281,-83.388722,35.633584,no
282,-83.380251,35.634705,no
283,-83.377984,35.634496,no
284,-83.376785,35.636638,no
285,-83.373712,35.638935,no
286,-83.372174,35.63931,no
287,-83.370369,35.638204,no
288,-83.368162,35.638202,no
289,-83.366941,35.638728,no
290,-83.358209,35.647276999999995,no
291,-83.356202,35.650019,no
292,-83.355367,35.652338,no
293,-83.355537,35.654632,no
294,-83.353776,35.657478,no
295,-83.35155999999999,35.659858,no
296,-83.349255,35.660854,no
297,-83.347262,35.660474,no
298,-83.337683,35.663074,no
299,-83.334965,35.665471,no
300,-83.321101,35.662815,no
301,-83.317905,35.659015,no
302,-83.31275699999999,35.654809,yes
303,-83.31049,35.654452,no
304,-83.302279,35.656064,no
305,-83.29715399999999,35.65775,no
306,-83.29367599999999,35.661919,no
307,-83.29107499999999,35.667131,no
308,-83.29068199999999,35.672638,no
309,-83.289165,35.674509,no
310,-83.281178,35.677802,no
311,-83.27548,35.679463,no
312,-83.271378,35.681475999999996,no
313,-83.269277,35.685403,no
314,-83.26539,35.687535,no
315,-83.261252,35.689164999999996,no
316,-83.258117,35.691924,no
317,-83.25560999999999,35.696061,yes
318,-83.25512599999999,35.701493,no
319,-83.25611099999999,35.703961,no
320,-83.25510799999999,35.707096,no
321,-83.25422999999999,35.709478,no
322,-83.254481,35.712362,no
323,-83.255489,35.714974,no
324,-83.255476179897,35.7150906815168,no
325,-83.25535099999999,35.716229999999996,no
326,-83.25124699999999,35.719916,no
327,-83.243501,35.722533,no
328,-83.242132,35.723638,no
329,-83.240669,35.72676,yes
330,-83.23204199999999,35.726098,no
331,-83.222627,35.726138,no
332,-83.21998099999999,35.726600999999995,no
333,-83.216972,35.725752,no
334,-83.214501,35.724433999999995,no
335,-83.203752,35.726552999999996,no
336,-83.200126,35.725331,no
337,-83.198267,35.725494,no
338,-83.18836999999999,35.729797999999995,no
339,-83.18568499999999,35.72989,yes
340,-83.182097,35.735492,no
341,-83.180836,35.738882,no
342,-83.177499,35.743913,no
343,-83.17186699999999,35.745978,no
344,-83.17017299999999,35.746106999999995,no
345,-83.16476999999999,35.754618,no
346,-83.165427,35.758700000000005,no
347,-83.164909,35.759965,no
348,-83.161537,35.763363,no
349,-83.15920799999999,35.764891999999996,yes
