,Longitude,Latitude,case
0,-82.6431981036679,38.1690897960737,yes
1,-82.642997,38.16956,no
2,-82.639054,38.171113999999996,no
3,-82.625457,38.170491,no
4,-82.619429,38.169027,no
5,-82.61348699999999,38.170242,no
6,-82.61134299999999,38.171548,yes
7,-82.60425,38.187639,no
8,-82.6015294689086,38.1929386210862,no
9,-82.59932599999999,38.197230999999995,no
10,-82.59886399999999,38.201007,no
11,-82.59843699999999,38.217393,yes
12,-82.600353,38.218948999999995,no
13,-82.6043302332994,38.2205665703339,no
14,-82.60575,38.221143999999995,no
15,-82.608944,38.223659999999995,no
16,-82.610367,38.226772,no
17,-82.61251999999999,38.234553,yes
18,-82.61225999999999,38.236087,no
19,-82.607131,38.245975,no
20,-82.605333,38.247302999999995,no
21,-82.604625,38.247302999999995,no
22,-82.60423,38.247302999999995,no
23,-82.59496999999999,38.245453,no
24,-82.58610483579959,38.2456151979756,no
25,-82.586061,38.245616,no
26,-82.584001,38.246370999999996,no
27,-82.581796,38.248591999999995,no
28,-82.578254,38.254809,no
29,-82.57465599999999,38.263873,yes
30,-82.5746,38.274721,no
31,-82.57672,38.277513,no
32,-82.57878199999999,38.281746999999996,no
33,-82.57947999999999,38.284928,no
34,-82.579743,38.291726,no
35,-82.58282299999999,38.295477999999996,no
36,-82.583056,38.296828999999995,no
37,-82.58145999999999,38.300444999999996,no
38,-82.578352,38.305458,no
39,-82.576156,38.308639,no
40,-82.571923,38.313347,no
41,-82.571756,38.317195,no
42,-82.575395,38.32298,no
43,-82.5760627549786,38.326099222393196,no
44,-82.57649599999999,38.328123,yes
45,-82.584588,38.333732999999995,no
46,-82.58795099999999,38.338595,no
47,-82.589545,38.34054,no
48,-82.59254299999999,38.34166,no
49,-82.596525,38.342849,no
50,-82.597979,38.344909,yes
51,-82.5980385555288,38.3485889644867,no
52,-82.5981687762208,38.356635363054394,no
53,-82.59818899999999,38.357884999999996,no
54,-82.59752399999999,38.364843,no
55,-82.596654,38.367338,no
56,-82.5952022980497,38.3697605477771,no
57,-82.593952,38.371846999999995,no
58,-82.593008,38.375082,no
59,-82.592815,38.377606,no
60,-82.593465,38.380279,no
61,-82.5941891447989,38.381333673011895,no
62,-82.5942125973223,38.3813678301909,no
63,-82.599273,38.388738,no
64,-82.59973699999999,38.39037,no
65,-82.59924099999999,38.39317,no
66,-82.59474,38.397844,no
67,-82.5948672500295,38.399543592347804,no
68,-82.59488945730301,38.3998401998405,no
69,-82.595001,38.40133,no
70,-82.597033,38.409937,no
71,-82.597113,38.412881,no
72,-82.59628099999999,38.417681,yes
73,-82.59604631697741,38.418027871729294,no
74,-82.59348,38.421821,no
75,-82.5934804554992,38.421008161645,no
76,-82.593482,38.418251999999995,no
77,-82.59117517070639,38.4160958032162,no
78,-82.587586,38.412741,no
79,-82.578999,38.407782999999995,no
80,-82.5731103604166,38.4056742196455,no
81,-82.5731028931683,38.4056715455497,no
82,-82.571613,38.405138,no
83,-82.56058999999999,38.404714999999996,no
84,-82.549799,38.403202,no
85,-82.54391470636371,38.403486407525804,no
86,-82.540199,38.403666,no
87,-82.5368479907873,38.404144354987395,no
88,-82.529579,38.405181999999996,yes
89,-82.5293290908971,38.405245900779704,no
90,-82.5214134596847,38.407269896706296,no
91,-82.507678,38.410782,no
92,-82.4951048425321,38.41513174880409,no
93,-82.48720694021401,38.4178640689274,no
94,-82.486577,38.418082,no
95,-82.4712675276174,38.4218380877932,no
96,-82.4711652128707,38.42186319010639,no
97,-82.4638453058268,38.4236590856676,no
98,-82.4617130272254,38.4241822275124,no
99,-82.459676,38.424682,no
100,-82.45163550259069,38.426149709844594,no
101,-82.447076,38.426981999999995,no
102,-82.43601878360201,38.4296807930741,no
103,-82.434375,38.430082,no
104,-82.4303970915739,38.4313316294567,no
105,-82.42510946083189,38.432992698145,no
106,-82.41018709522979,38.4376804449766,no
107,-82.404882,38.439347,yes
108,-82.3920960246516,38.4351300609845,no
109,-82.3920862407433,38.4351268341564,no
110,-82.389746,38.434355,no
111,-82.38907586513379,38.4343909736263,no
112,-82.382022971327,38.434769581245696,no
113,-82.381773,38.434782999999996,no
114,-82.3738609126751,38.4361778949958,no
115,-82.3719777418475,38.4365098965848,no
116,-82.364401771218,38.4378455344621,no
117,-82.360145,38.438596,no
118,-82.3479156339669,38.4400706715668,no
119,-82.34471511432069,38.4404566045177,no
120,-82.34064,38.440948,no
121,-82.33980256561719,38.4412366527829,no
122,-82.33182438771,38.443986627351194,no
123,-82.33033499999999,38.444500000000005,no
124,-82.323999,38.449268,yes
125,-82.3187370888558,38.456960685314,no
126,-82.318111,38.457876,no
127,-82.3162748566372,38.4623643504425,no
128,-82.313935,38.468084,no
